filename,time_rel(sec)
xa.s12.00.mhz.1969-12-16HR00_evid00006,1657.0499870767642
xa.s12.00.mhz.1970-01-09HR00_evid00007,7405.998921832884
xa.s12.00.mhz.1970-02-07HR00_evid00014,12343.331536388141
xa.s12.00.mhz.1970-02-18HR00_evid00016,44266.288136469375
xa.s12.00.mhz.1970-03-14HR00_evid00018,43692.011904146515
xa.s12.00.mhz.1970-03-30HR00_evid00020,63738.45999335376
xa.s12.00.mhz.1970-04-03HR00_evid00021,38957.58336964148
xa.s12.00.mhz.1970-05-20HR00_evid00026,60667.04811136137
xa.s12.00.mhz.1970-05-23HR00_evid00027,47445.07429752981
xa.s12.00.mhz.1970-05-24HR00_evid00028,16671.602407414244
xa.s12.00.mhz.1970-05-25HR00_evid00029,44063.078979433594
xa.s12.00.mhz.1970-06-19HR00_evid00031,77339.19096111952
xa.s12.00.mhz.1970-07-17HR00_evid00035,18260.98438134623
xa.s12.00.mhz.1970-07-18HR00_evid00036,2096.631540080493
xa.s12.00.mhz.1970-07-20HR00_evid00037,18599.150758778567
xa.s12.00.mhz.1970-07-27HR00_evid00039,13425.36936085367
xa.s12.00.mhz.1970-09-09HR00_evid00043,43929.04029834213
xa.s12.00.mhz.1970-10-26HR00_evid00049,18700.829361592143
xa.s12.00.mhz.1970-11-03HR00_evid00050,62223.91788206624
xa.s12.00.mhz.1970-11-03HR00_evid00051,62223.91788206624
xa.s12.00.mhz.1971-01-03HR00_evid00057,39633.930303142195
xa.s12.00.mhz.1971-01-05HR00_evid00059,3280.749546406684
xa.s12.00.mhz.1971-01-17HR00_evid00060,64556.41256877008
xa.s12.00.mhz.1971-03-15HR00_evid00073,28575.058893032525
xa.s12.00.mhz.1971-04-08HR01_evid00083,27189.711474681437
xa.s12.00.mhz.1971-05-22HR00_evid00092,64523.49745596869
xa.s12.00.mhz.1971-06-11HR00_evid00096,50387.40641730975
xa.s12.00.mhz.1971-06-27HR00_evid00101,68308.5342096518
xa.s12.00.mhz.1971-10-06HR00_evid00124,39227.91655281911
xa.s12.00.mhz.1971-10-06HR00_evid00125,39227.91655281911
xa.s12.00.mhz.1971-10-26HR00_evid00133,16874.14847690433
xa.s12.00.mhz.1971-11-24HR00_evid00156,10009.567389137097
xa.s12.00.mhz.1972-01-26HR00_evid00186,18768.365099878152
xa.s12.00.mhz.1972-02-21HR00_evid00190,75544.78496473802
xa.s12.00.mhz.1972-02-28HR00_evid00192,45686.836288446626
xa.s12.00.mhz.1972-05-15HR00_evid00223,62559.46830114832
xa.s12.00.mhz.1972-05-19HR00_evid00228,45347.39820551637
xa.s12.00.mhz.1972-11-14HR00_evid00331,70066.11486172138
xa.s12.00.mhz.1972-11-19HR00_evid00335,66585.42501200014
xa.s12.00.mhz.1972-12-02HR00_evid00341,29047.88284901968
xa.s12.00.mhz.1972-12-06HR00_evid00342,51434.02772218735
xa.s12.00.mhz.1972-12-15HR00_evid00349,25125.366790975888
xa.s12.00.mhz.1973-03-12HR00_evid00384,74834.12750433851
xa.s12.00.mhz.1973-04-23HR00_evid00399,50522.40983642876
xa.s12.00.mhz.1973-08-08HR00_evid00437,62638.815147530324
xa.s12.00.mhz.1973-10-03HR03_evid00461,60038.99371069183
xa.s12.00.mhz.1973-10-10HR00_evid00463,11193.385311819222
xa.s12.00.mhz.1973-11-22HR00_evid00475,50215.86471218107
xa.s12.00.mhz.1974-03-14HR00_evid00506,27425.484857659787
xa.s12.00.mhz.1974-03-30HR00_evid00512,71302.9512405289
xa.s12.00.mhz.1974-05-09HR00_evid00522,48797.06726728945
xa.s12.00.mhz.1974-06-30HR00_evid00543,63981.86103459734
xa.s12.00.mhz.1974-07-25HR05_evid00553,33281.39632005243
xa.s12.00.mhz.1974-10-02HR00_evid00572,48763.25086585682
xa.s12.00.mhz.1975-04-21HR00_evid00638,7575.085655208065
xa.s12.00.mhz.1975-05-16HR00_evid00651,80417.65039323561
xa.s12.00.mhz.1975-05-20HR00_evid00652,63068.80064985415
xa.s12.00.mhz.1975-06-15HR00_evid00660,14304.612694310083
xa.s12.00.mhz.1975-06-17HR00_evid00662,45010.49526271092
xa.s12.00.mhz.1977-04-11HR00_evid00915,48425.763645091014
xa.s12.00.mhz.1977-04-24HR00_evid00923,58534.043348225816
xa.s12.00.mhz.1977-04-26HR00_evid00924,36858.52527415722
xa.s12.00.mhz.1977-07-19HR00_evid00991,74605.88331697964
xa.s12.00.mhz.1977-09-13HR00_evid01012,74087.4640475575
