filename,time_rel(sec)
xa.s15.00.mhz.1973-04-04HR00_evid00098,66450.14538086396
xa.s15.00.mhz.1973-08-10HR00_evid00126,64828.646339031875
xa.s15.00.mhz.1973-10-27HR00_evid00134,40443.850858472106
xa.s15.00.mhz.1974-10-19HR00_evid00157,70743.29384484731
xa.s15.00.mhz.1974-11-17HR00_evid00162,71724.58743861463
xa.s15.00.mhz.1974-11-21HR00_evid00166,48019.29003433889
xa.s15.00.mhz.1974-12-15HR00_evid00169,33140.07340398036
xa.s15.00.mhz.1974-12-15HR00_evid00170,33140.07340398036
xa.s15.00.mhz.1975-04-12HR00_evid00190,65839.95846841192
xa.s15.00.mhz.1975-06-22HR00_evid00194,71727.46942362368
